word	approx_count	status
WAXBA	63091	needs_human_review
THE	62856	needs_human_review
HIIRAAN	62633	needs_human_review
QAARKOOD	62579	needs_human_review
GAARKA	62216	needs_human_review
SAMEEYO	61698	needs_human_review
KULMIYE	61309	needs_human_review
READ	60446	needs_human_review
GOOBTA	60189	needs_human_review
WALIBA	60052	needs_human_review
DIBADDA	60038	needs_human_review
AHAAYEEN	59964	needs_human_review
SHARCIGA	59721	needs_human_review
KUU	59692	needs_human_review
DAWLADA	59221	needs_human_review
SOMALIYA	59216	needs_human_review
LAMA	59145	needs_human_review
MIDOOBAY	59120	needs_human_review
GOBALKA	58666	needs_human_review
USOO	58597	needs_human_review
HELO	58411	needs_human_review
AHI	57871	needs_human_review
BAAQAY	57471	needs_human_review
XIRIIRKA	57195	needs_human_review
AHNA	56764	needs_human_review
DHINTAY	56750	needs_human_review
INTAA	56749	needs_human_review
QABTO	56593	needs_human_review
ADDUUNKA	56338	needs_human_review
KARTO	55982	needs_human_review
XUBNO	55203	needs_human_review
ADAHA	55195	needs_human_review
KOOXAHA	55052	needs_human_review
DUNIDA	54911	needs_human_review
NEWS	54384	needs_human_review
HAWEENKA	54360	needs_human_review
AQALKA	53746	needs_human_review
LAHAYD	53526	needs_human_review
MADAXA	53425	needs_human_review
DIINTA	52863	needs_human_review
TAGAY	52621	needs_human_review
ISLAAMKA	51937	needs_human_review
INTAAS	51818	needs_human_review
XUSAY	51717	needs_human_review
MAALINTA	51675	needs_human_review
WUU	51530	needs_human_review
ONLINE	51286	needs_human_review
KUNA	51006	needs_human_review
SUUQA	50811	needs_human_review
JIREEN	50808	needs_human_review
QAADAN	50782	needs_human_review
NAIROBI	50287	needs_human_review
MARAY	50186	needs_human_review
BIYAHA	50076	needs_human_review
KANA	49908	needs_human_review
MARKAA	49718	needs_human_review
NOO	49664	needs_human_review
JOOGA	49574	needs_human_review
JEEDA	49443	needs_human_review
WAXANA	49326	needs_human_review
BADDA	49228	needs_human_review
JIRTAY	49188	needs_human_review
NAGA	49158	needs_human_review
NOLOSHA	48922	needs_human_review
HADALKA	48723	needs_human_review
BEELAHA	48627	needs_human_review
XAALADDA	48520	needs_human_review
HASE	48043	needs_human_review
AMAANKA	47878	needs_human_review
CAGTA	47649	needs_human_review
KMG	47547	needs_human_review
HADDANA	47389	needs_human_review
NOQOTAY	47299	needs_human_review
NOQDO	47005	needs_human_review
AHAATEE	46990	needs_human_review
KALOO	46800	needs_human_review
DARTEED	46757	needs_human_review
DIRAY	46728	needs_human_review
KAASOO	46283	needs_human_review
NINKA	46102	needs_human_review
GALEEN	46067	needs_human_review
INKASTOO	45977	needs_human_review
DOONTAA	45957	needs_human_review
DHACA	45485	needs_human_review
UUNA	45429	needs_human_review
WAAWEYN	45228	needs_human_review
KUWAASI	45181	needs_human_review
AHEYD	45034	needs_human_review
GAROOWE	44956	needs_human_review
AHA	44519	needs_human_review
DOORTAY	44514	needs_human_review
BAYDHABO	44462	needs_human_review
XOOGAN	44198	needs_human_review
CARABTA	44178	needs_human_review
DALKAASI	44165	needs_human_review
ETHIOPIA	43539	needs_human_review
HADABA	43320	needs_human_review
SIIYO	43306	needs_human_review
QORAY	43293	needs_human_review
ILAAHAY	43270	needs_human_review
XOOGGA	43241	needs_human_review
TIRADA	43149	needs_human_review
AFKA	43107	needs_human_review
LACAGTA	43083	needs_human_review
GURIGA	43075	needs_human_review
DADKU	42806	needs_human_review
JEEDIYAY	42752	needs_human_review
MUDUG	42675	needs_human_review
HAYO	42308	needs_human_review
QAADEEN	42287	needs_human_review
BAXDAY	42256	needs_human_review
YEESHAY	42201	needs_human_review
YAQAAN	41974	needs_human_review
KEENAY	41908	needs_human_review
NAHAY	41367	needs_human_review
HADDABA	41362	needs_human_review
MARKAAS	41293	needs_human_review
GOOBAHA	41213	needs_human_review
KUWAASOO	40823	needs_human_review
HAYA	40740	needs_human_review
ARKAY	40574	needs_human_review
HOREY	40411	needs_human_review
KULMAY	39908	needs_human_review
DIIDAY	39893	needs_human_review
MAGACA	39884	needs_human_review
FARA	39841	needs_human_review
SAMEEYEY	39831	needs_human_review
JULY	39825	needs_human_review
KASTABA	39601	needs_human_review
GASHAY	39534	needs_human_review
BILOOD	39449	needs_human_review
BERBERA	39089	needs_human_review
DOONAYO	39003	needs_human_review
TANI	38697	needs_human_review
AANKA	38680	needs_human_review
SOCOTA	38388	needs_human_review
HADANA	38258	needs_human_review
XAALADA	38094	needs_human_review
LONDON	38021	needs_human_review
GAADHAY	37997	needs_human_review
WEERARKA	37832	needs_human_review
WADAMADA	37743	needs_human_review
YAALLA	37641	needs_human_review
KEENTAY	37638	needs_human_review
ISNA	37570	needs_human_review
MAALMOOD	37566	needs_human_review
ARDAYDA	37515	needs_human_review
BILAABAY	37511	needs_human_review
DOONIN	37465	needs_human_review
UNITED	37437	needs_human_review
DHAGEYSO	37289	needs_human_review
IGU	37274	needs_human_review
CIISE	37137	needs_human_review
SIIYAY	37048	needs_human_review
QAADI	36991	needs_human_review
CAAWA	36973	needs_human_review
YAALA	36894	needs_human_review
XIRIIRA	36757	needs_human_review
AANAN	36657	needs_human_review
DEGAANKA	36634	needs_human_review
MEELAHA	36550	needs_human_review
DILKA	36323	needs_human_review
XULKA	36262	needs_human_review
XIRAY	36242	needs_human_review
SOMALI	36213	needs_human_review
DHEXEEYA	35874	needs_human_review
MANA	35861	needs_human_review
HELAAN	35812	needs_human_review
MADRID	35736	needs_human_review
KAASI	35607	needs_human_review
KATIRSAN	35606	needs_human_review
QORSHAHA	35548	needs_human_review
MIDA	35433	needs_human_review
GEESKA	35319	needs_human_review
UMA	35318	needs_human_review
BOOSAASO	35281	needs_human_review
IBRAAHIM	35196	needs_human_review
BARIGA	35161	needs_human_review
XILI	35084	needs_human_review
UNA	35004	needs_human_review
HEERKA	34996	needs_human_review
DABA	34965	needs_human_review
DII	34949	needs_human_review
NOQOTO	34901	needs_human_review
CIYAARTA	34773	needs_human_review
GALO	34377	needs_human_review
WELIBA	34144	needs_human_review
GEYSTAY	33923	needs_human_review
QIIMAHA	33906	needs_human_review
RAXMAAN	33899	needs_human_review
HALKAAN	33804	needs_human_review
XOOLAHA	33639	needs_human_review
TIMID	33617	needs_human_review
IGA	33529	needs_human_review
ADUUNKA	33515	needs_human_review
SHIRKII	33401	needs_human_review
XUQUUQDA	33083	needs_human_review
SAARTAY	33069	needs_human_review
BUU	33033	needs_human_review
KADIBNA	32988	needs_human_review
SOCDO	32873	needs_human_review
YEESHEE	32690	needs_human_review
POSTED	32567	needs_human_review
QAATAAN	32547	needs_human_review
XABSIGA	32309	needs_human_review
MADOOBE	32281	needs_human_review
AFRICA	32183	needs_human_review
NINKII	32111	needs_human_review
EEDEEYAY	31998	needs_human_review
FURAY	31991	needs_human_review
KUGU	31977	needs_human_review
KARTA	31818	needs_human_review
COMMENTS	31767	needs_human_review
AHAN	31687	needs_human_review
DULEEDKA	31461	needs_human_review
AND	31452	needs_human_review
INOO	31404	needs_human_review
HABKA	31402	needs_human_review
HAWADA	31385	needs_human_review
QARAXA	31303	needs_human_review
MARCH	31298	needs_human_review
ISAGU	31239	needs_human_review
TARTANKA	31152	needs_human_review
WAAD	31104	needs_human_review
IYAGU	30913	needs_human_review
WAQTIGA	30765	needs_human_review
AANTA	30756	needs_human_review
REAL	30748	needs_human_review
QAYBTA	30722	needs_human_review
NOQDAAN	30669	needs_human_review
WADADA	30659	needs_human_review
IISAL	30544	needs_human_review
GAARAYA	30481	needs_human_review
XOGTA	30418	needs_human_review
JUNE	30386	needs_human_review
MAAHA	30247	needs_human_review
DUMARKA	30243	needs_human_review
BAXA	30207	needs_human_review
SICIID	30200	needs_human_review
HUBKA	30190	needs_human_review
GMAIL	30167	needs_human_review
DHAXEEYA	30089	needs_human_review
FILAYAA	30060	needs_human_review
KOOBKA	30039	needs_human_review
QEYBTA	29983	needs_human_review
UMMADDA	29951	needs_human_review
SIDAN	29776	needs_human_review
HOREYSAY	29762	needs_human_review
SUGNAA	29685	needs_human_review
LEAGUE	29677	needs_human_review
RADIO	29652	needs_human_review
AHAANBA	29610	needs_human_review
LAGAGA	29594	needs_human_review
EEGO	29550	needs_human_review
BIXIYAY	29372	needs_human_review
SANADKAN	29309	needs_human_review
SHAQEEYA	29209	needs_human_review
QORAALKA	29164	needs_human_review
TAGO	29149	needs_human_review
BUUXDA	29143	needs_human_review
OCTOBER	29117	needs_human_review
AYAANA	28916	needs_human_review
YAABAA	28821	needs_human_review
WAAYAY	28777	needs_human_review
TRUMP	28771	needs_human_review
BARRE	28760	needs_human_review
ARRIMO	28613	needs_human_review
HALKAA	28365	needs_human_review
DIFAACA	28320	needs_human_review
SWEDEN	28316	needs_human_review
SAARKA	28236	needs_human_review
GAROWE	28222	needs_human_review
HADLAYAY	28149	needs_human_review
HORUMAR	28144	needs_human_review
YAAL	28114	needs_human_review
XARAKADA	28048	needs_human_review
JOOGAAN	28047	needs_human_review
WAREEGAY	28042	needs_human_review
DHINTEEN	28024	needs_human_review
JIREY	27785	needs_human_review
HOWLAHA	27757	needs_human_review
SAFIIRKA	27732	needs_human_review
JEEDIYEY	27719	needs_human_review
RUUSHKA	27661	needs_human_review
ANIGU	27598	needs_human_review
JOOGO	27593	needs_human_review
WAXUU	27582	needs_human_review
DUGSIGA	27499	needs_human_review
CUDURKA	27463	needs_human_review
MARKUU	27436	needs_human_review
WAXAN	27425	needs_human_review
SOCDAAN	27356	needs_human_review
MIDKA	27291	needs_human_review
MEDIA	27183	needs_human_review
YEELAY	27168	needs_human_review
XAGGA	27160	needs_human_review
NOOCA	27074	needs_human_review
GAARO	26990	needs_human_review
FACEBOOK	26931	needs_human_review
DANBE	26914	needs_human_review
LANA	26794	needs_human_review
QABTEEN	26750	needs_human_review
INAYSAN	26741	needs_human_review
SOCODKA	26739	needs_human_review
NABADDA	26716	needs_human_review
KUBADDA	26691	needs_human_review
INTAASI	26689	needs_human_review
SIIYEY	26673	needs_human_review
CHELSEA	26623	needs_human_review
BAXAYA	26610	needs_human_review
SHEIKH	26590	needs_human_review
JOOGAY	26584	needs_human_review
QAATO	26568	needs_human_review
KHEYRE	26526	needs_human_review
JOOGTA	26471	needs_human_review
SAWIRRO	26459	needs_human_review
SABABTOO	26454	needs_human_review
ABABA	26368	needs_human_review
IMAANAYA	26342	needs_human_review
QABA	26281	needs_human_review
DIBNA	26254	needs_human_review
SANADKA	26245	needs_human_review
DIBADA	26244	needs_human_review
KULAMO	26206	needs_human_review
CITY	26171	needs_human_review
HOREEYAY	26127	needs_human_review
LAABTAY	26102	needs_human_review
VIDEO	26075	needs_human_review
CODKA	26061	needs_human_review
RUNTII	25963	needs_human_review
SHIINAHA	25916	needs_human_review
JAWAARI	25830	needs_human_review
WADAA	25771	needs_human_review
QOYSKA	25696	needs_human_review
DILEEN	25653	needs_human_review
WADDANKA	25607	needs_human_review
AHEYN	25581	needs_human_review
GAARTAY	25548	needs_human_review
TALADA	25546	needs_human_review
ARRINTAN	25527	needs_human_review
GAAREEN	25516	needs_human_review
MUUQATA	25501	needs_human_review
MEELO	25467	needs_human_review
MUUQDA	25417	needs_human_review
CAADIGA	25378	needs_human_review
QAATEEN	25279	needs_human_review
BISHAN	25272	needs_human_review
MARKAY	25259	needs_human_review
BAXAAN	25167	needs_human_review
HESHO	25142	needs_human_review
SOCOTAY	25126	needs_human_review
LAGULA	25115	needs_human_review
KULANKII	25087	needs_human_review
KOOXO	25060	needs_human_review
APRIL	25059	needs_human_review
CARUURTA	24993	needs_human_review
DHACEEN	24954	needs_human_review
DEGAN	24946	needs_human_review
JARAA	24942	needs_human_review
HALKII	24925	needs_human_review
RAGGA	24887	needs_human_review
CADAADO	24833	needs_human_review
TIRSANAA	24789	needs_human_review
ARKO	24751	needs_human_review
LAGAMA	24702	needs_human_review
SANNO	24633	needs_human_review
MACALIN	24586	needs_human_review
DALKAAS	24483	needs_human_review
ARSENAL	24437	needs_human_review
BADNAA	24392	needs_human_review
HAWLAHA	24381	needs_human_review
HUBEYSAN	24292	needs_human_review
BILOWDAY	24263	needs_human_review
YEESHEEN	24234	needs_human_review
CODSADAY	24162	needs_human_review
UGANDA	24115	needs_human_review
QATAR	24114	needs_human_review
THIS	24077	needs_human_review
SOCON	24073	needs_human_review
NAGU	24045	needs_human_review
XASSAN	24035	needs_human_review
WADAY	24025	needs_human_review
BAXEEN	23985	needs_human_review
DOONAYA	23941	needs_human_review
QOFKU	23856	needs_human_review
WAKIILKA	23842	needs_human_review
AUGUST	23767	needs_human_review
HOGAANKA	23729	needs_human_review
YEMEN	23595	needs_human_review
BEERAHA	23527	needs_human_review
DIBEDDA	23502	needs_human_review
QABAAN	23466	needs_human_review
FEBRUARY	23436	needs_human_review
WAXAANAY	23397	needs_human_review
IWM	23276	needs_human_review
HOWL	23259	needs_human_review
QAYBAHA	23245	needs_human_review
DHALIYAY	23106	needs_human_review
BBC	23075	needs_human_review
NOVEMBER	23019	needs_human_review
ADDIS	23011	needs_human_review
HADLEEN	22986	needs_human_review
MOHAMED	22858	needs_human_review
DHIGTAY	22838	needs_human_review
MADASHA	22796	needs_human_review
AWOODDA	22712	needs_human_review
QOFKII	22699	needs_human_review
ARKI	22683	needs_human_review
KAALINTA	22650	needs_human_review
DUQA	22647	needs_human_review
BANAAN	22629	needs_human_review
DHALATAY	22587	needs_human_review
UULIYIIN	22523	needs_human_review
CADDE	22501	needs_human_review
PROF	22450	needs_human_review
SHIRKAN	22418	needs_human_review
AHMED	22417	needs_human_review
WATA	22395	needs_human_review
WARKA	22336	needs_human_review
HELIN	22333	needs_human_review
AWGEED	22330	needs_human_review
SAMEYN	22286	needs_human_review
TAASINA	22266	needs_human_review
AAMINSAN	22169	needs_human_review
AYAAD	22159	needs_human_review
XOOGGAN	22136	needs_human_review
UCID	22125	needs_human_review
LOOLA	22055	needs_human_review
XUBNOOD	22020	needs_human_review
BIN	21996	needs_human_review
DHABTA	21979	needs_human_review
BIXINTA	21963	needs_human_review
HAYSTA	21933	needs_human_review
JAWAABAY	21827	needs_human_review
WAAXDA	21822	needs_human_review
KUBADA	21767	needs_human_review
YAQAANO	21732	needs_human_review
DECEMBER	21664	needs_human_review
IYADOONA	21650	needs_human_review
SHAQEYN	21633	needs_human_review
GUDIGA	21610	needs_human_review
URURADA	21584	needs_human_review
XUKUNKA	21484	needs_human_review
BADANI	21471	needs_human_review
SAWIRO	21459	needs_human_review
HESHAY	21455	needs_human_review
LOONA	21454	needs_human_review
SAAREEN	21441	needs_human_review
JANUARY	21420	needs_human_review
DHIGEEN	21412	needs_human_review
DOLLAR	21401	needs_human_review
SAAMEYN	21396	needs_human_review
WEERARAY	21351	needs_human_review
GUULEED	21339	needs_human_review
MUHIIMKA	21336	needs_human_review
KALANA	21283	needs_human_review
DHISAY	21250	needs_human_review
WEERARO	21245	needs_human_review
WUXU	21219	needs_human_review
SHEEGEY	21176	needs_human_review
CUNTADA	21138	needs_human_review
HADLAYA	21105	needs_human_review
IMINKA	21020	needs_human_review
ROOBLE	21011	needs_human_review
ILA	21009	needs_human_review
WARSAME	21006	needs_human_review
CAANKA	20972	needs_human_review
AQOONTA	20963	needs_human_review
ARRINTA	20915	needs_human_review
FADHIYA	20902	needs_human_review
GALIN	20879	needs_human_review
KULANKAN	20841	needs_human_review
KAHOR	20824	needs_human_review
LABADII	20822	needs_human_review
TALISKA	20782	needs_human_review
BALAN	20698	needs_human_review
LAGUNA	20688	needs_human_review
SIDAASI	20656	needs_human_review
KACAY	20629	needs_human_review
SIDAY	20620	needs_human_review
ISHA	20544	needs_human_review
WAAYEY	20544	needs_human_review
MAGALADA	20534	needs_human_review
LIISKA	20506	needs_human_review
NET	20496	needs_human_review
ODHAN	20496	needs_human_review
HADLAYO	20437	needs_human_review
RAYIDKA	20420	needs_human_review
MARARKA	20393	needs_human_review
MASKAXDA	20383	needs_human_review
XEEBAHA	20339	needs_human_review
QAADATAY	20331	needs_human_review
CIDDA	20249	needs_human_review
SHIRKADA	20237	needs_human_review
QABAA	20225	needs_human_review
ABAARAHA	20168	needs_human_review
QABSADAY	20067	needs_human_review
YIRAAHDO	20027	needs_human_review
XILLIGA	20005	needs_human_review
MARAYO	19886	needs_human_review
WAFDIGA	19814	needs_human_review
FULINTA	19810	needs_human_review
DALKU	19776	needs_human_review
HADLO	19775	needs_human_review
ENG	19768	needs_human_review
CUSMAAN	19742	needs_human_review
UMADDA	19738	needs_human_review
XARUMAHA	19720	needs_human_review
BAXO	19624	needs_human_review
GABADHA	19622	needs_human_review
SHAACA	19616	needs_human_review
SHAQEEYO	19588	needs_human_review
YIMAADA	19569	needs_human_review
XEERKA	19524	needs_human_review
INDHAHA	19510	needs_human_review
CIRKA	19501	needs_human_review
UUL	19449	needs_human_review
MARKAAN	19425	needs_human_review
SAWIRADA	19317	needs_human_review
WASIIRO	19306	needs_human_review
DAMBEYN	19261	needs_human_review
BIXIYO	19257	needs_human_review
FAROOLE	19182	needs_human_review
YIMAADO	19136	needs_human_review
ADA	19096	needs_human_review
DDSI	19051	needs_human_review
QABTAAN	18959	needs_human_review
YAABO	18954	needs_human_review
HORJEEDA	18934	needs_human_review
IYAGUNA	18918	needs_human_review
OGAADAY	18904	needs_human_review
AFGOOYE	18861	needs_human_review
BIXIYEY	18849	needs_human_review
WARARKII	18842	needs_human_review
MUSHARAX	18817	needs_human_review
ISRAA	18786	needs_human_review
FARAHA	18707	needs_human_review
KHASAARE	18690	needs_human_review
LEENAHAY	18668	needs_human_review
XANUUNKA	18562	needs_human_review
VILLA	18541	needs_human_review
IGAD	18488	needs_human_review
XOOGA	18398	needs_human_review
FAYSAL	18365	needs_human_review
HADASHAY	18317	needs_human_review
HAYAY	18314	needs_human_review
GALA	18306	needs_human_review
SPAIN	18301	needs_human_review
XIDDIGA	18282	needs_human_review
ISKUGU	18260	needs_human_review
DHIGI	18250	needs_human_review
EMAIL	18244	needs_human_review
DEEGAANO	18225	needs_human_review
TABABAR	18215	needs_human_review
SABABAY	18172	needs_human_review
HARGAYSA	18119	needs_human_review
ALLAH	18104	needs_human_review
CELIYAY	18104	needs_human_review
NEW	18103	needs_human_review
DHEERE	18075	needs_human_review
OGA	18058	needs_human_review
BOOQDAY	18039	needs_human_review
HELEEN	17965	needs_human_review
MAALMAHA	17936	needs_human_review
BAAHIDA	17928	needs_human_review
DHAWAAD	17916	needs_human_review
FILAYO	17897	needs_human_review
HANTIDA	17868	needs_human_review
GUUSHA	17804	needs_human_review
MARNABA	17801	needs_human_review
ARAGTIDA	17791	needs_human_review
CELIYO	17784	needs_human_review
DEKEDDA	17732	needs_human_review
RABO	17724	needs_human_review
NORWAY	17715	needs_human_review
BASHIIR	17713	needs_human_review
DHISKA	17708	needs_human_review
READING	17706	needs_human_review
TAGEEN	17704	needs_human_review
MARKAAD	17702	needs_human_review
AADKA	17673	needs_human_review
ADEEGGA	17673	needs_human_review
AYADOO	17639	needs_human_review
BOQOLAAL	17637	needs_human_review
LAHEYN	17621	needs_human_review
BRITAIN	17597	needs_human_review
QEYBAHA	17582	needs_human_review
CARUUR	17577	needs_human_review
TEGAY	17576	needs_human_review
TAAL	17572	needs_human_review
GAARIGA	17553	needs_human_review
RASMIGA	17533	needs_human_review
LLAAHI	17508	needs_human_review
AADANAHA	17444	needs_human_review
WAREYSI	17435	needs_human_review
AHLU	17415	needs_human_review
MAX	17402	needs_human_review
HINDIYA	17394	needs_human_review
XAAFADDA	17392	needs_human_review
CULIMADA	17308	needs_human_review
GURYAHA	17208	needs_human_review
MARKALE	17190	needs_human_review
SUURIYA	17109	needs_human_review
BIIRAY	17103	needs_human_review
ALLAHA	17078	needs_human_review
ABUU	17054	needs_human_review
BIXIYAAN	17019	needs_human_review
DHACO	17005	needs_human_review
JUBALAND	17000	needs_human_review
INAGA	16998	needs_human_review
CONTINUE	16989	needs_human_review
YEERAY	16981	needs_human_review
KHADKA	16944	needs_human_review
DANTA	16924	needs_human_review
QAADAAN	16916	needs_human_review
XIDHAN	16895	needs_human_review
MAALMO	16888	needs_human_review
HOTMAIL	16880	needs_human_review
GELINTA	16870	needs_human_review
SAFARKA	16858	needs_human_review
WAAYEEN	16839	needs_human_review
QAADIR	16800	needs_human_review
JARMALKA	16792	needs_human_review
DOWLADDU	16745	needs_human_review
AYA	16737	needs_human_review
HABOON	16723	needs_human_review
QEYBO	16723	needs_human_review
MUUJIYAY	16692	needs_human_review
BARAHA	16649	needs_human_review
YAASIIN	16620	needs_human_review
MARNA	16598	needs_human_review
DAGAALO	16534	needs_human_review
DALKOODA	16520	needs_human_review
TAALLA	16515	needs_human_review
AWOODA	16494	needs_human_review
KURSIGA	16482	needs_human_review
TALA	16474	needs_human_review
MARKIIBA	16464	needs_human_review
XIDHAY	16443	needs_human_review
XERADA	16400	needs_human_review
DUCAALE	16389	needs_human_review
JOOGTADA	16381	needs_human_review
QAADKA	16359	needs_human_review
ISAGOONA	16341	needs_human_review
XAAFADA	16278	needs_human_review
LAAKIN	16263	needs_human_review
DHACAYA	16222	needs_human_review
ISLAAM	16206	needs_human_review
SHEEGIN	16188	needs_human_review
HAYSTO	16148	needs_human_review
WADAN	16129	needs_human_review
RIDAY	16100	needs_human_review
MIDNA	16096	needs_human_review
JIGJIGA	16077	needs_human_review
GUDA	16075	needs_human_review
NOQDEEN	16037	needs_human_review
QARAXYO	15976	needs_human_review
GABDHAHA	15942	needs_human_review
JEEDO	15896	needs_human_review
RABAA	15808	needs_human_review
DHARKA	15773	needs_human_review
