Nr	Somali ord	Kilde	Wikipedia-treff	Godkjent?	Merknad
57	DHEER	Afsoomali + Kaikki	2800		
58	TIRSAN	Afsoomali	2799		
59	KASTA	Afsoomali	2791		
60	MAR	Afsoomali + Kaikki	2783		
61	HOOSE	Afsoomali	2770		
62	MARGIN	Afsoomali	2700		
63	DHUL	Afsoomali + Kaikki	2620		
64	KOOBAN	Afsoomali	2613		
65	HAL	Afsoomali + Kaikki	2588		
66	CAAN	Afsoomali	2560		
67	TAN	Afsoomali + Kaikki	2536		
68	LABAAD	Afsoomali	2525		
69	SOLID	Afsoomali	2497		
70	GALBEED	Afsoomali + Kaikki	2488		
71	TAAS	Afsoomali	2438		
72	BIYO	Afsoomali + Kaikki	2426		
73	COL	Afsoomali	2407		
74	KAAS	Afsoomali	2346		
75	QAAR	Afsoomali	2335		
76	NOOL	Afsoomali + Kaikki	2299		
77	HOOS	Afsoomali + Kaikki	2271		
78	KUWAAS	Afsoomali	2255		
79	TAARIIKH	Afsoomali	2244		
80	WAQOOYI	Afsoomali + Kaikki	2172		
81	KADIB	Kaikki	2161		
82	BILAABO	Afsoomali	2160		
83	MAGAALO	Afsoomali + Kaikki	2075		
84	HADDII	Afsoomali + Kaikki	2073		
85	FIICAN	Afsoomali + Kaikki	2039		
86	NEBI	Afsoomali	1987		
87	DHOW	Afsoomali	1971		
88	ISAGA	Afsoomali + Kaikki	1962		
89	DHEX	Afsoomali + Kaikki	1960		
90	KARO	Afsoomali	1936		
91	TAG	Afsoomali	1856		
92	CAN	Afsoomali + Kaikki	1843		
93	MILYAN	Afsoomali	1830		
94	MASAR	Afsoomali	1825		
95	DHOWR	Afsoomali	1736		
96	FIIRI	Afsoomali + Kaikki	1724		
97	HAS	Afsoomali	1721		
98	SHEEKH	Afsoomali	1718		
99	NIN	Afsoomali + Kaikki	1687		
100	XUL	Afsoomali	1687		
101	OKTOOBAR	Afsoomali + Kaikki	1650		
102	MAQAAL	Afsoomali	1639		
103	DHAMMAAN	Afsoomali + Kaikki	1638		
104	WADA	Afsoomali	1629		
105	CILMI	Afsoomali	1608		
106	WAY	Afsoomali	1601		
107	SIDII	Afsoomali	1592		
108	DAMBE	Afsoomali	1566		
109	KUWO	Afsoomali	1551		
110	MADAX	Afsoomali + Kaikki	1547		
111	ISKA	Kaikki	1519		
112	XARUNTA	Kaikki	1519		
113	XUBIN	Afsoomali	1516		
114	CARABI	Afsoomali	1515		
115	ABRIIL	Afsoomali + Kaikki	1508		
116	SEE	Afsoomali	1463		
117	AFAR	Afsoomali + Kaikki	1456		
118	DEGMO	Afsoomali	1444		
119	LOW	Afsoomali	1429		
120	DOC	Afsoomali	1427		
121	GOBOL	Afsoomali	1425		
122	SADDEX	Afsoomali + Kaikki	1422		
123	KOR	Afsoomali	1414		
124	SAWIR	Afsoomali	1408		
125	CURIYE	Afsoomali	1385		
126	MAARSO	Afsoomali + Kaikki	1335		
127	HAY	Afsoomali + Kaikki	1328		
128	KOOWAAD	Afsoomali	1310		
129	MUHIIM	Kaikki	1282		
130	LABO	Afsoomali	1269		
131	KAN	Afsoomali + Kaikki	1266		
132	DAGAAL	Afsoomali + Kaikki	1247		
133	TUSAALE	Afsoomali	1245		
134	DHAQAN	Afsoomali + Kaikki	1244		
135	FEBRAAYO	Afsoomali + Kaikki	1239		
136	SHOW	Afsoomali	1230		
137	BAR	Afsoomali + Kaikki	1208		
138	QAAB	Afsoomali	1180		
139	AGOOSTO	Afsoomali + Kaikki	1171		
140	MIN	Afsoomali	1140		
141	DAY	Afsoomali	1138		
142	JIR	Afsoomali + Kaikki	1133		
143	AQOON	Afsoomali	1132		
144	NOOC	Afsoomali + Kaikki	1132		
145	AWOOD	Afsoomali	1125		
146	CAD	Afsoomali + Kaikki	1101		
147	NIDAAMKA	Kaikki	1095		
148	BEEN	Afsoomali + Kaikki	1085		
149	DARAY	Afsoomali	1083		
150	MAAX	Afsoomali + Kaikki	1083		
151	JILAA	Afsoomali	1077		
152	MUDDO	Afsoomali	1072		
153	FILIM	Afsoomali	1067		
154	EEG	Afsoomali + Kaikki	1066		
155	WAS	Afsoomali + Kaikki	1066		
156	WAXEY	Kaikki	1045		
157	GANACSI	Afsoomali	1043		
158	DIIN	Afsoomali + Kaikki	1034		
159	WAR	Afsoomali + Kaikki	1027		
160	XIGASHO	Afsoomali	1011		
161	ADAG	Afsoomali + Kaikki	1004		
162	SIDAAS	Afsoomali	1002		
163	SHAN	Afsoomali + Kaikki	998		
164	SANAD	Afsoomali + Kaikki	990		
165	BIR	Afsoomali + Kaikki	977		
166	GACAN	Afsoomali + Kaikki	974		
167	TOBAN	Afsoomali + Kaikki	962		
168	BIG	Afsoomali	958		
169	JEER	Afsoomali + Kaikki	958		
170	RASMI	Afsoomali	956		
171	CAALAMI	Afsoomali	952		
172	KOOX	Afsoomali	952		
173	CASE	Afsoomali	944		
174	QORAA	Afsoomali	943		
175	CIIDAN	Afsoomali	938		
176	FAARAX	Afsoomali	912		
177	LAMBAR	Afsoomali	912		
178	SHARCI	Afsoomali + Kaikki	910		
179	HAGAAJIN	Afsoomali	901		
180	MAAMUL	Afsoomali	891		
181	SIDO	Afsoomali + Kaikki	891		
182	BAA	Afsoomali + Kaikki	890		
183	JAN	Afsoomali	889		
184	DHAQAALE	Afsoomali	887		
185	ASAL	Afsoomali	880		
186	GINI	Afsoomali	876		
187	SAN	Afsoomali + Kaikki	871		
188	MAADAAMA	Afsoomali	865		
189	KARIN	Afsoomali	856		
190	HEER	Afsoomali	852		
191	SUN	Afsoomali	850		
192	XIRFAD	Afsoomali	847		
193	ROGID	Afsoomali	843		
194	XAAJI	Afsoomali	838		
195	XISAAB	Afsoomali + Kaikki	834		
196	DIR	Afsoomali + Kaikki	832		
197	NUUR	Afsoomali	829		
198	SULDAAN	Afsoomali	829		
199	XILLI	Afsoomali	827		
200	CUNTO	Afsoomali + Kaikki	818		
201	BAAHAN	Afsoomali	801		
202	SHAQO	Afsoomali + Kaikki	794		
203	GOOB	Afsoomali	792		
204	MAALIN	Afsoomali + Kaikki	792		
205	FUDUD	Afsoomali + Kaikki	789		
206	ALLE	Afsoomali	788		
207	DOOR	Afsoomali + Kaikki	788		
208	DAM	Afsoomali	780		
209	KARAAN	Afsoomali	767		
210	MITIR	Afsoomali	767		
211	WAKHTI	Afsoomali	761		
212	LIX	Afsoomali + Kaikki	755		
213	WELI	Afsoomali	755		
214	QAABKA	Afsoomali	747		
215	HAB	Afsoomali	746		
216	BELOW	Afsoomali	745		
217	WALBA	Afsoomali	741		
218	QALABKA	Kaikki	740		
219	DEEGAAN	Afsoomali	737		
220	SHIRKAD	Afsoomali	735		
221	DOONO	Afsoomali	726		
222	JOOGTO	Afsoomali	726		
223	LIKE	Afsoomali	718		
224	DAL	Afsoomali	716		
225	QALIN	Afsoomali + Kaikki	714		
226	WIIL	Afsoomali + Kaikki	711		
227	SAYNIS	Afsoomali	710		
228	BILYAN	Afsoomali	699		
229	BADANAA	Afsoomali	698		
230	DAWLAD	Afsoomali	696		
231	WAYN	Kaikki	694		
232	MAAJO	Afsoomali + Kaikki	693		
233	XOOLO	Afsoomali + Kaikki	686		
234	TII	Afsoomali	683		
235	SIYAAD	Afsoomali	681		
236	MADOW	Afsoomali + Kaikki	679		
237	MUUQAAL	Afsoomali	678		
238	IYAGA	Afsoomali + Kaikki	676		
239	KALI	Afsoomali	674		
240	TOOS	Afsoomali + Kaikki	658		
241	QARAN	Afsoomali	657		
242	JIRIN	Afsoomali	656		
243	BULSHO	Afsoomali	653		
244	MEERE	Afsoomali	650		
245	HEESTA	Kaikki	643		
246	SOKEEYE	Afsoomali	641		
247	LACAG	Afsoomali	640		
248	KELIYA	Afsoomali	631		
249	QORAAL	Afsoomali	629		
250	XAYAWAAN	Afsoomali + Kaikki	610		
251	BOQOR	Afsoomali + Kaikki	608		
252	CAS	Afsoomali + Kaikki	603		
253	BAD	Afsoomali + Kaikki	598		
254	BISHA	Kaikki	595		
255	MAS	Afsoomali + Kaikki	590		
256	HEESAA	Afsoomali	586		
257	JAAMAC	Afsoomali	584		
258	INA	Afsoomali	581		
259	KUN	Afsoomali + Kaikki	581		
260	DOWLAD	Afsoomali	580		
261	HADAL	Afsoomali + Kaikki	574		
262	UGAAS	Afsoomali	573		
263	XARUN	Afsoomali + Kaikki	572		
264	EEBBE	Afsoomali	571		
265	XUN	Afsoomali + Kaikki	571		
266	SIYAASI	Afsoomali	569		
267	GAABAN	Afsoomali + Kaikki	568		
268	QUR	Afsoomali	565		
269	COD	Afsoomali	561		
270	GEN	Afsoomali	560		
271	GOD	Afsoomali	554		
272	HESHIIS	Afsoomali	553		
273	MIDAB	Afsoomali + Kaikki	552		
274	DHEERAAD	Afsoomali	547		
275	CEEL	Afsoomali + Kaikki	546		
276	DHIR	Afsoomali	544		
277	BEEL	Afsoomali	541		
278	CAADI	Afsoomali + Kaikki	541		
279	SANAAG	Afsoomali	539		
280	CALANKA	Kaikki	536		
281	HOOYO	Afsoomali + Kaikki	533		
282	DAB	Afsoomali + Kaikki	532		
283	LUG	Afsoomali + Kaikki	532		
284	SAARO	Afsoomali	528		
285	HORDHAC	Afsoomali	522		
286	IRAN	Afsoomali	522		
287	QAADO	Afsoomali + Kaikki	518		
288	DARO	Afsoomali	515		
289	REEBO	Afsoomali	515		
290	ABWAAN	Afsoomali	514		
291	DAYAX	Afsoomali + Kaikki	504		
292	GARAAD	Afsoomali	504		
293	FOG	Afsoomali + Kaikki	497		
294	NOLOL	Afsoomali	497		
295	XIRIIR	Afsoomali + Kaikki	492		
296	QOYS	Afsoomali	490		
297	XITAA	Afsoomali	488		
298	SHEEKO	Afsoomali + Kaikki	486		
299	GEED	Afsoomali + Kaikki	485		
300	FAR	Afsoomali + Kaikki	481		
301	TUULO	Afsoomali	478		
302	WAAYO	Afsoomali	475		
303	KUMA	Afsoomali	474		
304	DHINAC	Afsoomali + Kaikki	473		
305	LUULIYO	Afsoomali + Kaikki	468		
306	DEGAAN	Afsoomali	465		
307	GUUL	Afsoomali	463		
308	WEERAR	Afsoomali	463		
309	XIRAN	Afsoomali	462		
310	BAXSAN	Afsoomali	460		
311	DUGSI	Afsoomali + Kaikki	460		
312	MAN	Afsoomali	458		
313	MAXAA	Afsoomali + Kaikki	458		
314	ILO	Afsoomali	455		
315	WAAN	Afsoomali + Kaikki	455		
316	WADDAN	Afsoomali	452		
317	DEGGAN	Afsoomali	451		
318	HEES	Afsoomali + Kaikki	450		
319	BURCO	Afsoomali	448		
320	JIRKA	Kaikki	448		
321	MARIN	Afsoomali + Kaikki	446		
322	QORAN	Afsoomali	445		
323	XAD	Afsoomali	445		
324	URUR	Afsoomali	444		
325	XOOG	Afsoomali + Kaikki	444		
326	SALAYSAN	Afsoomali	440		
327	DAR	Afsoomali + Kaikki	438		
328	INKASTA	Afsoomali	438		
329	BIL	Afsoomali	437		
330	NIDAAM	Afsoomali	437		
331	KORONTO	Afsoomali	436		
332	TAAGEERO	Afsoomali	432		
333	GURI	Afsoomali + Kaikki	431		
334	JUQRAAFI	Afsoomali	431		
335	NABAD	Afsoomali + Kaikki	430		
336	BANNAAN	Afsoomali	426		
337	SUGAN	Afsoomali	426		
338	WAQTI	Afsoomali	425		
339	DHACDO	Afsoomali	424		
340	DHAR	Afsoomali	423		
341	LUQAD	Afsoomali	422		
342	RUN	Afsoomali	422		
343	YARAAN	Afsoomali	422		
344	FAL	Afsoomali + Kaikki	421		
345	NOOLE	Afsoomali	416		
346	QOTO	Afsoomali	413		
347	WALI	Afsoomali	413		
348	AAS	Afsoomali	411		
349	BUUG	Afsoomali + Kaikki	411		
350	WAXEE	Afsoomali	411		
351	GOOD	Afsoomali	410		
352	BOQOL	Afsoomali + Kaikki	407		
353	DHAGAX	Afsoomali + Kaikki	407		
354	TAB	Afsoomali	407		
355	TAAGAN	Afsoomali	403		
356	SIYAASAD	Afsoomali	402		
357	SAMAYSAN	Afsoomali	401		
358	BARE	Afsoomali + Kaikki	399		
359	QOYAN	Afsoomali	393		
360	WOQOOYI	Afsoomali	393		
361	ILMO	Afsoomali + Kaikki	392		
362	DAA	Afsoomali + Kaikki	391		
363	AGAASIME	Afsoomali	390		
364	BAH	Afsoomali	390		
365	KAYD	Afsoomali	390		
366	KAA	Afsoomali	388		
367	QOOB	Afsoomali	387		
368	WEBI	Afsoomali + Kaikki	387		
369	FADLAN	Kaikki	386		
370	QABIIL	Afsoomali	386		
371	MIDIG	Afsoomali + Kaikki	385		
372	GAS	Afsoomali	383		
373	IMAAM	Afsoomali	383		
374	TAXANE	Afsoomali	383		
375	MUDO	Afsoomali	381		
376	QURAAN	Afsoomali	379		
377	AYAAN	Afsoomali + Kaikki	378		
378	DEG	Afsoomali	378		
379	BIDIX	Afsoomali + Kaikki	377		
380	RAG	Afsoomali + Kaikki	377		
381	HABAR	Afsoomali	375		
382	DAAHIR	Afsoomali	374		
383	HABBOON	Afsoomali	374		
384	WAREEJI	Afsoomali + Kaikki	373		
385	DHIGO	Afsoomali	371		
386	KULAN	Afsoomali	369		
387	DHAB	Afsoomali	366		
388	DHIS	Afsoomali + Kaikki	362		
389	TIX	Afsoomali	360		
390	CULUS	Afsoomali + Kaikki	359		
391	JOOG	Afsoomali + Kaikki	359		
392	QALAB	Afsoomali + Kaikki	359		
393	AAG	Afsoomali	358		
394	XIRSI	Afsoomali	358		
395	CIGAAL	Afsoomali	357		
396	MACAAN	Afsoomali + Kaikki	356		
397	SHABAAB	Afsoomali	356		
398	DEGDEG	Afsoomali + Kaikki	355		
399	SHAQAALE	Afsoomali + Kaikki	355		
400	ILLAA	Afsoomali	351		
401	DARAN	Afsoomali	350		
402	SAGAAL	Afsoomali + Kaikki	349		
403	IIL	Afsoomali	348		
404	GABADH	Afsoomali + Kaikki	346		
405	ASTAAN	Afsoomali	344		
406	JANNAAYO	Afsoomali + Kaikki	344		
407	ABAAL	Afsoomali	343		
408	ILAAH	Afsoomali	342		
409	BEER	Afsoomali + Kaikki	340		
410	SAX	Afsoomali	340		
411	DIL	Afsoomali + Kaikki	339		
412	DELTA	Afsoomali	338		
413	JECEL	Afsoomali + Kaikki	338		
414	DUUL	Afsoomali + Kaikki	337		
415	DUMAR	Afsoomali	336		
416	CARRUUR	Afsoomali	332		
417	DUL	Afsoomali	332		
418	GABAY	Afsoomali	332		
419	HARO	Afsoomali	332		
420	KUWII	Afsoomali	330		
421	CIID	Afsoomali	328		
422	SALAAD	Afsoomali	327		
423	DHIIG	Afsoomali + Kaikki	323		
424	GOOBO	Afsoomali	322		
425	KULUL	Afsoomali + Kaikki	322		
426	TARTIIB	Afsoomali	321		
427	HORAY	Afsoomali	320		
428	ARDAY	Afsoomali	319		
429	DHAWR	Afsoomali	319		
430	KITAAB	Afsoomali + Kaikki	318		
431	WASIIR	Afsoomali	318		
432	FURAN	Afsoomali	317		
433	ADAN	Afsoomali	316		
434	BINI	Afsoomali	315		
435	SHARIIF	Afsoomali	314		
436	BIXIN	Afsoomali	312		
437	CARAB	Afsoomali	311		
438	DHIGAN	Afsoomali	309		
439	DHAC	Afsoomali + Kaikki	307		
440	DAHAB	Afsoomali + Kaikki	306		
441	SABAB	Afsoomali + Kaikki	306		
442	GUURE	Afsoomali	305		
443	HALIS	Afsoomali	305		
444	DHERER	Afsoomali	304		
445	WAXYAABO	Afsoomali	304		
446	DEN	Afsoomali	303		
447	QABO	Afsoomali + Kaikki	303		
448	AQOONSAN	Afsoomali	302		
449	BUUR	Afsoomali + Kaikki	301		
450	HAA	Afsoomali + Kaikki	301		
451	HAD	Afsoomali	300		
452	LAB	Afsoomali	299		
453	SAMAYN	Afsoomali	297		
454	QARNI	Afsoomali	295		
455	QURXIN	Afsoomali	295		
456	KHALIIF	Afsoomali	294		
457	SALDHIG	Afsoomali	293		
458	XUSAN	Afsoomali	293		
459	MILAN	Afsoomali	292		
460	BANGIGA	Kaikki	291		
461	GAL	Afsoomali + Kaikki	290		
462	BUUXA	Kaikki	288		
463	HORMUUD	Afsoomali	288		
464	OOY	Afsoomali	288		
465	DAREEN	Afsoomali + Kaikki	287		
466	HARAR	Afsoomali	287		
467	CIYAAR	Afsoomali + Kaikki	286		
468	QORI	Afsoomali	286		
469	XOR	Afsoomali	286		
470	DABIICI	Afsoomali	285		
471	JACAYL	Afsoomali	285		
472	DHISAN	Afsoomali	282		
473	MAYL	Afsoomali	282		
474	WADO	Afsoomali	282		
475	XUSUUSIN	Afsoomali	280		
476	CALAAMAD	Afsoomali + Kaikki	278		
477	CID	Afsoomali	278		
478	NEEF	Afsoomali	278		
479	SHAKHSI	Afsoomali	275		
480	MAAN	Afsoomali	273		
481	CAMAR	Afsoomali	272		
482	DIIWAAN	Afsoomali	272		
483	JIDKA	Kaikki	272		
484	TALO	Afsoomali	271		
485	HAWL	Afsoomali	270		
486	MUDAN	Afsoomali	270		
487	SHANAAD	Afsoomali	270		
488	BANDHIG	Afsoomali + Kaikki	269		
489	BEEGAN	Afsoomali	269		
490	GEEL	Afsoomali + Kaikki	266		
491	CAASIMAD	Afsoomali	265		
492	LIIN	Afsoomali + Kaikki	265		
493	XANUUN	Afsoomali	265		
494	FALGAL	Afsoomali	264		
495	HARTI	Afsoomali	264		
496	QORO	Afsoomali	263		
497	GOONI	Afsoomali	261		
498	UUD	Afsoomali	260		
499	BAABUUR	Afsoomali	258		
500	SHARAF	Afsoomali	258		
501	XOG	Afsoomali	256		
502	HUGO	Afsoomali	255		
503	WADAJIR	Afsoomali	255		
504	GEDO	Afsoomali	254		
505	NUGAAL	Afsoomali	254		
506	JIDHKA	Kaikki	253		
507	AFARAAD	Afsoomali	252		
508	SHIIKH	Afsoomali	252		
509	AMAR	Afsoomali	251		
510	FIDSAN	Afsoomali	251		
511	MUDANE	Afsoomali	251		
512	DIYAAR	Afsoomali + Kaikki	249		
513	HANTI	Afsoomali	249		
514	HOY	Afsoomali	249		
515	QURUX	Afsoomali + Kaikki	249		
516	TIIRSAN	Afsoomali	249		
517	TOBNAAD	Afsoomali	249		
518	HODAN	Afsoomali	248		
519	KOW	Afsoomali + Kaikki	247		
520	TALIYE	Afsoomali	247		
521	WADDO	Afsoomali	247		
522	XAQ	Afsoomali	246		
523	XISBI	Afsoomali	246		
524	DARRO	Afsoomali	245		
525	EEY	Afsoomali	245		
526	DID	Afsoomali	243		
527	NIIL	Afsoomali	243		
528	DHIBAATO	Afsoomali	242		
529	JAJAB	Afsoomali	241		
530	SAAR	Afsoomali + Kaikki	241		
531	ATOM	Afsoomali	240		
532	WARBIXIN	Afsoomali	240		
533	ARAGTI	Afsoomali	239		
534	DADBAN	Afsoomali	239		
535	GALAAN	Afsoomali	239		
536	SHIDAAL	Afsoomali	239		
537	WALAAL	Afsoomali + Kaikki	239		
538	DHISO	Afsoomali	238		
539	DUSHA	Kaikki	238		
540	MAYA	Afsoomali	238		
541	SAARAN	Afsoomali	238		
542	MARO	Afsoomali	236		
543	DOON	Afsoomali + Kaikki	235		
544	XEER	Afsoomali + Kaikki	235		
545	HAWO	Afsoomali	234		
546	MAXAY	Afsoomali	233		
547	RASUUL	Afsoomali	233		
548	XAALAD	Afsoomali	233		
549	MACALLIN	Afsoomali	232		
550	SARKAAL	Afsoomali	232		
551	SIMAN	Afsoomali	232		
552	UUN	Afsoomali + Kaikki	232		
553	FILAN	Afsoomali + Kaikki	231		
554	MARKAB	Afsoomali + Kaikki	231		
555	SIIN	Afsoomali + Kaikki	231		
556	CIMILO	Afsoomali	230		
557	MALE	Afsoomali + Kaikki	230		
558	FIX	Afsoomali	229		
559	SAFAR	Afsoomali + Kaikki	229		
560	TAYADA	Afsoomali	229		
561	ANNA	Afsoomali	228		
562	LIXAAD	Afsoomali	228		
563	AMIIR	Afsoomali	227		
564	ANIGA	Afsoomali + Kaikki	227		
565	ASKARI	Afsoomali + Kaikki	227		
566	FARSAMO	Afsoomali	226		
567	SANNAD	Afsoomali	226		
568	HUB	Afsoomali	225		
569	SHAY	Afsoomali	225		
570	SUUGAAN	Afsoomali	225		
571	CIRJEEX	Afsoomali	224		
572	MOOD	Afsoomali + Kaikki	224		
573	QIYAAS	Afsoomali + Kaikki	223		
574	JOWHAR	Afsoomali	222		
575	HIBO	Afsoomali	221		
576	ROOB	Afsoomali + Kaikki	221		
577	WACAN	Afsoomali + Kaikki	221		
578	DHAWAAN	Afsoomali	219		
579	DAN	Afsoomali	218		
580	DHABAN	Afsoomali	218		
581	FOOD	Afsoomali	218		
582	TOOSAN	Afsoomali	218		
583	MAHAD	Afsoomali	217		
584	MURAN	Afsoomali	217		
585	DOORASHO	Afsoomali	216		
586	GALMO	Afsoomali	216		
587	DIYAARAD	Afsoomali	215		
588	MAROODI	Afsoomali	215		
589	SUNNI	Afsoomali	215		
590	BAAXAD	Afsoomali	214		
591	CASRI	Afsoomali + Kaikki	213		
592	AQOONSI	Afsoomali	212		
593	DHISME	Afsoomali	212		
594	SALIID	Afsoomali + Kaikki	212		
595	SAYID	Afsoomali	212		
596	XEERAN	Afsoomali	212		
597	BAABI	Kaikki	211		
598	BAAHSAN	Afsoomali	211		
599	HABEEN	Afsoomali + Kaikki	211		
600	WAREEG	Afsoomali + Kaikki	211		
601	BARBAR	Afsoomali	210		
602	BEERO	Afsoomali	209		
603	HER	Afsoomali	209		
604	SIDDEED	Afsoomali + Kaikki	209		
605	DAALIB	Afsoomali	208		
606	LABAATAN	Afsoomali + Kaikki	208		
607	LUUQAD	Afsoomali	208		
608	DADWEYNE	Afsoomali	207		
609	SHIR	Afsoomali	207		
610	BAARIS	Afsoomali	205		
611	DHOOBO	Afsoomali + Kaikki	205		
612	DOONTA	Kaikki	205		
613	KAARBOON	Afsoomali	205		
614	XAAS	Afsoomali + Kaikki	205		
615	XARAF	Afsoomali	205		
616	AHAY	Kaikki	204		
617	FARXAD	Afsoomali	204		
618	HEERKUL	Afsoomali	204		
619	XAMAR	Afsoomali	204		
620	RUUM	Afsoomali	202		
621	TIRI	Afsoomali + Kaikki	202		
622	AWAL	Afsoomali	201		
623	MARTI	Afsoomali	201		
624	LAF	Afsoomali + Kaikki	200		
625	NIYAD	Afsoomali	200		
626	ARAG	Afsoomali + Kaikki	199		
627	BUS	Afsoomali + Kaikki	199		
628	GOOL	Afsoomali	199		
629	XIL	Afsoomali	199		
630	CAANO	Afsoomali + Kaikki	198		
631	JASIIRAD	Afsoomali + Kaikki	198		
632	MASHRUUC	Afsoomali	197		
633	CAGAAR	Afsoomali + Kaikki	196		
634	KOWAAD	Afsoomali	196		
635	WAKIIL	Afsoomali	196		
636	DISEMBAR	Afsoomali	195		
637	WEY	Afsoomali	195		
638	ABUUR	Afsoomali + Kaikki	194		
639	KHATAR	Afsoomali	194		
640	MAAL	Afsoomali + Kaikki	194		
641	XOOGAA	Afsoomali	194		
642	YEELAN	Afsoomali	194		
643	DHAFAN	Afsoomali	193		
644	GELIN	Afsoomali	193		
645	SAARI	Afsoomali	193		
646	SHAHAADO	Afsoomali	193		
647	ADIGA	Afsoomali + Kaikki	192		
648	SIR	Afsoomali	192		
649	GARAB	Afsoomali	191		
650	SHAAH	Afsoomali + Kaikki	191		
651	AFRAAD	Afsoomali	190		
652	SUUQ	Afsoomali	190		
653	EREY	Afsoomali	189		
654	KEENO	Afsoomali	189		
655	ALLA	Afsoomali	188		
656	CAGAARAN	Afsoomali + Kaikki	188		
657	DHICI	Afsoomali	187		
658	JILICSAN	Afsoomali + Kaikki	187		
659	MACNO	Afsoomali	187		
660	MAAMULE	Afsoomali	186		
661	DAGAN	Afsoomali	185		
662	KEENI	Kaikki	185		
663	XAASHI	Afsoomali	185		
664	AMMAAN	Afsoomali	184		
665	BAL	Afsoomali	184		
666	DAAWO	Afsoomali + Kaikki	184		
667	TOGO	Afsoomali	184		
668	KUWAN	Afsoomali	183		
669	MAD	Afsoomali	183		
670	WADAR	Afsoomali	183		
671	HILIB	Afsoomali + Kaikki	182		
672	YEERO	Afsoomali	182		
673	DABAR	Afsoomali + Kaikki	181		
674	DHAW	Afsoomali	181		
675	MAHDI	Afsoomali	181		
676	ADEEG	Afsoomali	180		
677	DHALASHO	Afsoomali	180		
678	GUUR	Afsoomali + Kaikki	179		
679	YAA	Afsoomali	179		
680	BUULO	Afsoomali	178		
681	DHIMASHO	Afsoomali	178		
682	FIQI	Afsoomali	178		
683	GAARI	Afsoomali	178		
684	IMAN	Kaikki	178		
685	MACDAN	Afsoomali	178		
686	DALXIIS	Afsoomali	177		
687	HABAYN	Afsoomali	177		
688	JIRAA	Afsoomali	177		
689	SIDEE	Afsoomali	177		
690	BIYOOD	Afsoomali	176		
691	LAAN	Afsoomali	176		
692	CABSI	Afsoomali	175		
693	CELIN	Afsoomali	175		
694	SAAMAYN	Afsoomali	175		
695	DAQIIQO	Afsoomali	174		
696	DUNI	Afsoomali + Kaikki	174		
697	HAWEEN	Afsoomali	174		
698	MAQAN	Afsoomali	174		
699	YAAB	Afsoomali + Kaikki	174		
700	ASAGA	Kaikki	173		
701	BIXI	Afsoomali + Kaikki	173		
702	MAGAN	Afsoomali + Kaikki	173		
703	NAAG	Afsoomali + Kaikki	173		
704	RAACSAN	Afsoomali	173		
705	DEKED	Afsoomali	172		
706	GAAS	Afsoomali	172		
707	TAYO	Afsoomali	172		
708	DHAKHTAR	Afsoomali	171		
709	HALBEEG	Afsoomali	171		
710	JIRI	Afsoomali	171		
